k = 2,k = 5,k = 10
125853.7806081067,120683.70192877542,121770.64469851926
123495.95579662133,121023.45922269723,120555.80570940224
127654.98519480898,122233.36875882439,116478.97385675971
121988.11069464685,121169.87597442332,119855.7324860403
131822.38353641226,121034.3510643288,119827.78659198979
124787.20541942661,116644.60543497033,118146.81551946665
126590.94843816455,125703.5793068444,119662.11709913512
124822.69355226004,114254.02734917183,121324.13703019652
131718.55368529272,114124.33213269548,118781.24006407041
121173.40764473913,122214.22486445312,116527.02859572491
123076.00371466455,115073.35878631803,121255.57466945708
120791.4951433543,119570.5897132861,117751.20680308703
134953.01461394902,117339.25332234647,123550.85687007157
133367.90857357465,122159.92739326553,119687.11289411104
124809.9720916384,124177.44169784417,113981.44222485737
123474.17471829668,119962.60797169416,119400.7952167917
127369.6068507928,120558.47813469732,121049.57692116508
114798.41512941367,117385.44092943435,119091.57670632156
126353.65950245959,117930.46090994704,118074.72052622904
120681.45511228306,122336.31684488503,119833.03088166688
120339.71874901655,124583.09065664187,119991.22411064769
129836.96647653345,119566.00773205412,121289.249703045
122859.98742533408,116156.12269990344,122614.10052807158
119926.23708120437,116674.85903091381,120098.42887932369
120669.89352510592,116826.6256265118,115580.76906480793
130075.62029750532,127663.59523303139,120926.81339653699
127226.6121954289,120307.69071895664,118638.12810442486
122505.99713351308,121388.56924161232,120519.7061353382
119565.54225788017,121463.28466028454,121019.81661839623
118179.88273828416,120658.15456503292,118136.35688218757
